crop,category,soil_types,textures,moistures,ph,temperature,season
Rice (Paddy),Cereal,alluvial; red; yellow; black,fine,wet,5.5–6.5,Opt ~30–32°C,Kharif
Wheat,Cereal,alluvial; black,mixed,moderate,6.0–8.0 (opt ~6.5),20–25°C,Rabi
Maize (Corn),Cereal,alluvial; red; black,mixed,moderate,6.0–7.5,21–32°C,Kharif/Rabi/Zaid
Sorghum (Jowar),Cereal,black; red,mixed; fine,dry; moderate,6.0–8.5,25–32°C,Kharif & Rabi
Pearl Millet (Bajra),Cereal,arid; red; alluvial,coarse; mixed,dry,~6–7,20–35°C,Kharif
Finger Millet (Ragi),Cereal,red; laterite; yellow; mountain,mixed,dry; moderate,<7 (slightly acidic–neutral),20–30°C,Kharif
Barley,Cereal,alluvial; arid; mountain,coarse; mixed,dry,6–8 (most salt-tolerant cereal),Growth 12–16°C,Rabi
Foxtail Millet (Kangni),Cereal,red; yellow; arid,coarse; mixed,dry,5.5–7.0,Warm,Kharif
Kodo Millet,Cereal,red; yellow,coarse; mixed,dry,5.5–7.5,Warm,Kharif
Little Millet,Cereal,red; yellow,coarse; mixed,dry,5.5–7.0,Warm,Kharif
Barnyard Millet,Cereal,red; yellow; alluvial,coarse; mixed,dry,5.5–7.0,Warm,Kharif
Proso Millet,Cereal,red; alluvial,coarse; mixed,dry,5.5–6.5,Warm,Kharif/Summer
Oats,Cereal,alluvial; mountain,mixed,moderate,5.0–6.5,Cool,Rabi (mainly fodder)
Chickpea (Gram),Pulse,black; alluvial,mixed,dry,5.5–8.5,Cool season,Rabi
Pigeon Pea (Arhar/Tur),Pulse,red; black; yellow,coarse; mixed,moderate,5.0–8.5,26–30°C,Kharif
Green Gram (Moong),Pulse,alluvial; black; red,mixed,dry; moderate,~6.2–7.2,25–35°C,Kharif/Zaid
Black Gram (Urad),Pulse,alluvial; black; red,mixed; fine,moderate,5.5–6.5 (tol. 4.7–7.5),25–35°C,Kharif/Rabi/Summer
Lentil (Masoor),Pulse,alluvial; black,coarse; mixed,dry,6.0–7.5,Cool/cold,Rabi
Cowpea (Lobia),Pulse,red; alluvial,coarse; mixed,dry; moderate,5.5–7.5,25–35°C,Kharif/Summer
Horse Gram (Kulthi),Pulse,red; arid; yellow,coarse; mixed,dry,5.0–7.5,Warm,Kharif
Moth Bean,Pulse,arid,coarse; mixed,dry; wet,~7.0–8.0,Hot arid,Kharif
Field Pea,Pulse,alluvial,mixed,moderate,6.0–7.5,Cool,Rabi
Rajma (Kidney Bean),Pulse,mountain; alluvial,mixed,moderate,5.5–6.5,Cool–mild,Rabi (hills: Kharif)
Groundnut,Oilseed,red; arid; black,coarse,dry; moderate,5.5–7.0 (salt-sensitive),25–30°C,Kharif (also Rabi/Summer)
Mustard / Rapeseed,Oilseed,alluvial; black,mixed,moderate,6.0–7.5,10–25°C,Rabi
Soybean,Oilseed,black; alluvial,mixed,moderate,≥6.5,Warm season,Kharif
Sunflower,Oilseed,black; red; alluvial,coarse; mixed,moderate,6.5–8.5,Cool→warm; day-neutral,Kharif & Rabi
Sesame (Til),Oilseed,red; alluvial; arid,coarse; mixed,dry,5.5–8.0 (sources vary),25–35°C,Kharif & Rabi
Castor,Oilseed,red; arid; black,coarse; mixed,moderate,6.0–7.5,Warm (~18–28°C)*,Kharif
Linseed (Flax),Oilseed,black; alluvial,mixed,dry; moderate,5.5–7.0,Cool,Rabi
Niger,Oilseed,red; laterite; yellow,coarse; mixed,dry,5.5–7.0,Warm,Kharif
Safflower,Oilseed,black,mixed; fine,dry,6.0–8.0,Cool dry,Rabi
Potato,Vegetable,alluvial; red; mountain,coarse; mixed,moderate,5.2–6.5,Cool; tuberization ~20°C,Rabi (N); Jul–Aug & Jan–Feb (S)
Tomato,Vegetable,alluvial; red; black,mixed,dry; moderate,6.0–7.0,21–24°C opt,Multiple seasons
Onion,Vegetable,alluvial; red; black,mixed,moderate,6.0–7.0,Cool→warm (bulbing),Kharif/Rabi
Brinjal (Eggplant),Vegetable,alluvial; red,mixed,moderate,5.5–7.5,Warm ~21–32°C,Year-round
Cabbage,Vegetable,alluvial; mountain,mixed,moderate,6.0–7.5,Cool ~15–20°C,Rabi
Cauliflower,Vegetable,alluvial; mountain,mixed,moderate,6.0–7.5,Cool season,Rabi
Okra (Bhindi),Vegetable,alluvial; red,coarse; mixed,moderate,6.0–6.8,24–27°C,Kharif & Spring-Summer
Chilli,Vegetable,black; red; alluvial,coarse; mixed,dry; moderate,6.0–7.0,Warm season,Kharif/Rabi
Peas,Vegetable,alluvial; mountain,mixed,moderate,6.0–7.5,Cool season,Rabi
Carrot,Vegetable,alluvial; red,coarse; mixed,moderate,5.5–7.0,Cool season,Rabi
Cucumber,Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Warm,Summer/Kharif
Bottle Gourd,Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Warm,Summer/Kharif
Bitter Gourd,Vegetable,alluvial; red,mixed,moderate,6.0–6.7,Warm,Summer/Kharif
Ridge Gourd,Vegetable,alluvial; red,mixed,moderate,6.0–6.7,Warm,Summer/Kharif
Pumpkin,Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Warm,Summer/Kharif
Radish,Vegetable,alluvial; red,coarse; mixed,moderate,6.0–7.0,Cool,Rabi (also year-round)
Beetroot,Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Cool,Rabi
Spinach (Palak),Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Cool,Rabi
Sweet Potato,Vegetable,red; laterite; alluvial,coarse,dry; moderate,5.5–6.5,Warm,Kharif
Tapioca (Cassava),Vegetable,red; laterite,coarse; mixed,dry,5.5–7.0,Warm tropical,Long-duration
Colocasia (Arbi/Taro),Vegetable,alluvial; red,mixed; fine,wet,5.5–6.5,Warm humid,Kharif
Drumstick (Moringa),Vegetable,red; arid; alluvial,coarse,dry,6.0–7.5 (tol. to ~9),Warm,Perennial
Cluster Bean (Guar),Vegetable,arid,coarse,dry,7.0–8.5,Hot arid,Kharif
Capsicum (Bell Pepper),Vegetable,alluvial; red,mixed,moderate,6.0–7.0,Mild 21–25°C,Rabi/Year-round
Yam (Dioscorea),Vegetable,alluvial; red; laterite,mixed,moderate; wet,5.5–6.5,Warm humid,Kharif
Mango,Fruit,alluvial; red; laterite,mixed,moderate; dry,5.5–7.5,22–27°C ideal,Perennial
