2026-06-08 13:13:13,580 | INFO | __main__ | ======================================================================
2026-06-08 13:13:13,580 | INFO | __main__ | Book: vrikshayurveda (1 pages, per_page)
2026-06-08 13:13:14,127 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-06-08 13:13:24,933 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.5-flash:generateContent "HTTP/1.1 200 OK"
2026-06-08 13:13:24,956 | INFO | __main__ |   progress: vrikshayurveda p.1 (1/1) | this-run done=1 cached=0 | tokens in=1375 out=3 | spent=0.04 INR | t=11s
2026-06-08 13:13:26,457 | INFO | __main__ | ======================================================================
2026-06-08 13:13:26,458 | INFO | __main__ | Book: brihat_samhita (1 pages, per_page)
2026-06-08 13:13:26,699 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-06-08 13:13:44,069 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.5-flash:generateContent "HTTP/1.1 200 OK"
2026-06-08 13:13:44,076 | INFO | __main__ |   progress: brihat_samhita p.275 (1/1) | this-run done=2 cached=0 | tokens in=2755 out=316 | spent=0.14 INR | t=30s
2026-06-08 13:13:45,577 | INFO | __main__ | ======================================================================
2026-06-08 13:13:45,577 | INFO | __main__ | Book: krishi_parashara (1 pages, merged_md)
2026-06-08 13:13:45,914 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-06-08 13:13:57,987 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.5-flash:generateContent "HTTP/1.1 200 OK"
2026-06-08 13:13:57,998 | INFO | __main__ |   progress: krishi_parashara p.94 (1/1) | this-run done=3 cached=0 | tokens in=4120 out=662 | spent=0.24 INR | t=44s
2026-06-08 13:13:59,526 | INFO | __main__ |   assembled krishi_parashara -> C:\Users\HP\Desktop\Thesis\corpus\ocr_external\krishi_parashara.md (1448 chars)
2026-06-08 13:13:59,526 | INFO | __main__ | ======================================================================
2026-06-08 13:13:59,526 | INFO | __main__ | Book: upavanavinoda (1 pages, merged_md)
2026-06-08 13:13:59,707 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-06-08 13:14:20,416 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.5-flash:generateContent "HTTP/1.1 200 OK"
2026-06-08 13:14:20,429 | INFO | __main__ |   progress: upavanavinoda p.77 (1/1) | this-run done=4 cached=0 | tokens in=5473 out=1177 | spent=0.39 INR | t=67s
2026-06-08 13:14:21,941 | INFO | __main__ |   assembled upavanavinoda -> C:\Users\HP\Desktop\Thesis\corpus\ocr_external\upavanavinoda.md (2154 chars)
2026-06-08 13:14:57,763 | INFO | __main__ | ======================================================================
2026-06-08 13:14:57,764 | INFO | __main__ | Book: vrikshayurveda (101 pages, per_page)
2026-06-08 13:14:58,244 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
